Date,Trailing 12 Months,Quarterly,YoY Quarterly Growth
9/30/11,0.136,0.04,
12/31/11,0.143,0.032,28
3/31/12,0.132,0.02,-35.48
6/30/12,0.114,0.022,-45
9/30/12,0.133,0.059,47.5
12/31/12,0.383,0.282,
3/31/13,0.828,0.465,
6/30/13,1.111,0.305,
9/30/13,1.38,0.328,455.93
12/31/13,1.557,0.459,62.77
3/31/14,1.557,0.465,0
6/30/14,1.808,0.556,82.3
9/30/14,2.08,0.6,82.93
12/31/14,2.316,0.695,51.42
3/31/15,2.531,0.68,46.24
6/30/15,2.717,0.742,33.45
9/30/15,2.822,0.705,17.5
12/31/15,3.123,0.996,43.31
3/31/16,3.338,0.895,31.62
6/30/16,3.591,0.995,34.1
9/30/16,4.548,1.662,135.74
12/31/16,5.401,1.849,85.64
3/31/17,6.534,2.028,126.59
6/30/17,7.662,2.123,113.37
9/30/17,8.536,2.536,52.59
12/31/17,9.536,2.849,54.08
3/31/18,10.46,2.952,45.56
6/30/18,11.72,3.383,59.35
9/30/18,14.484,5.3,108.99
12/31/18,17.418,5.783,102.98
3/31/19,18.441,3.975,34.65
6/30/19,20.487,5.429,60.48
9/30/19,20.299,5.112,-3.55
12/31/19,20.509,5.993,3.63
3/31/20,21.285,4.751,19.52
6/30/20,20.625,4.769,-12.16
9/30/20,22.221,6.708,31.22
12/31/20,24.906,8.678,44.8
3/31/21,28.329,8.174,72.05
6/30/21,32.634,9.074,90.27
9/30/21,36.023,10.097,50.52
12/31/21,40.217,12.872,48.33
3/31/22,45.339,13.296,62.66
6/30/22,48.965,12.7,39.96
9/30/22,54.94,16.072,59.18
12/31/22,60.609,18.541,44.04
3/31/23,66.131,18.818,41.53
6/30/23,73.825,20.394,60.58
9/30/23,76.925,19.172,19.29
12/31/23,79.113,20.729,11.8
3/31/24,77.9,17.605,-6.45
6/30/24,78.428,20.922,2.59
9/30/24,79.441,20.185,5.28
12/31/24,80.24,21.528,3.85
3/31/25,78.817,16.182,-8.08
6/30/25,76.513,18.618,-11.01
9/30/25,79.369,23.041,14.15
